"Date","L1-Category","L2-Category","Segment","L1-Region","L2-Region","Value","Value 2","Count","Rate"
"2015-02-01","Office Supplies","Appliances","Corporate","Central","France","277.26","-0.03","1","-0.0001"
"2015-02-01","Office Supplies","Art","Consumer","Central","France","111.84","4.44","4","0.0397"
"2015-02-01","Office Supplies","Art","Consumer","Central","Germany","133.35","5.25","5","0.0394"
"2015-02-01","Office Supplies","Art","Consumer","South","Italy","241.92","98.82","6","0.4085"
"2015-02-01","Office Supplies","Art","Consumer","South","Spain","199.35","13.77","6","0.0691"
"2015-02-01","Office Supplies","Art","Corporate","Central","France","267.75","55.92","13","0.2089"
"2015-02-01","Office Supplies","Art","Corporate","Central","Switzerland","18.93","7.56","1","0.3994"
"2015-02-01","Office Supplies","Art","Corporate","South","Spain","63.24","12.12","3","0.1917"
"2015-02-01","Office Supplies","Art","Home Office","Central","France","30.24","10.86","2","0.3591"
"2015-02-01","Office Supplies","Art","Home Office","Central","Germany","123.9","39.6","5","0.3196"
"2015-02-01","Office Supplies","Art","Home Office","North","Sweden","90.63","-61.65","6","-0.6802"
"2015-02-01","Office Supplies","Art","Home Office","South","Spain","92.64","24.06","2","0.2597"
"2015-02-01","Office Supplies","Binders","Consumer","Central","France","83.7","17.22","10","0.2057"
"2015-02-01","Office Supplies","Binders","Consumer","Central","Germany","113.1","35.52","12","0.3141"
"2015-02-01","Office Supplies","Binders","Consumer","South","Italy","126.75","28.56","10","0.2253"
"2015-02-01","Office Supplies","Binders","Corporate","Central","Belgium","308.7","77.04","6","0.2496"
"2015-02-01","Office Supplies","Binders","Corporate","Central","France","159.75","59.1","5","0.37"
"2015-02-01","Office Supplies","Binders","Home Office","Central","Germany","26.32","-14.32","5","-0.5442"
"2015-02-01","Office Supplies","Binders","Home Office","South","Spain","84.78","17.73","3","0.2091"
"2015-02-01","Office Supplies","Envelopes","Consumer","Central","France","50.16","24","4","0.4785"
"2015-02-01","Office Supplies","Envelopes","Corporate","Central","France","21.39","0","1","0"
"2015-02-01","Office Supplies","Envelopes","Corporate","Central","Netherlands","54.78","-18.66","4","-0.3406"
"2015-02-01","Office Supplies","Fasteners","Consumer","Central","Germany","116.73","31.56","12","0.2704"
"2015-02-01","Office Supplies","Fasteners","Consumer","Central","Switzerland","21.18","5.88","2","0.2776"
"2015-02-01","Office Supplies","Fasteners","Consumer","South","Italy","109.62","21.78","6","0.1987"
"2015-02-01","Office Supplies","Fasteners","Corporate","Central","France","34.56","13.77","3","0.3984"
"2015-02-01","Office Supplies","Fasteners","Home Office","South","Spain","47.88","4.77","3","0.0996"
"2015-02-01","Office Supplies","Labels","Corporate","Central","France","31.41","10.62","3","0.3381"
"2015-02-01","Office Supplies","Labels","Corporate","South","Italy","18.45","3.69","3","0.2"
"2015-02-01","Office Supplies","Labels","Home Office","Central","France","27.36","5.94","3","0.2171"
"2015-02-01","Office Supplies","Paper","Consumer","Central","France","45.98","-41.48","5","-0.9021"
"2015-02-01","Office Supplies","Paper","Corporate","Central","France","61.56","0","4","0"
"2015-02-01","Office Supplies","Paper","Corporate","Central","Germany","13.18","-7.94","1","-0.6018"
"2015-02-01","Office Supplies","Storage","Consumer","Central","France","148.88","14.87","3","0.0999"
"2015-02-01","Office Supplies","Storage","Consumer","Central","Switzerland","32.4","8.37","3","0.2583"
"2015-02-01","Office Supplies","Storage","Consumer","South","Italy","29.09","-13.09","1","-0.4501"
"2015-02-01","Office Supplies","Storage","Consumer","South","Spain","9.23","1.61","1","0.1748"
"2015-02-01","Office Supplies","Storage","Corporate","Central","Germany","248.02","8.26","2","0.0333"
"2015-02-01","Office Supplies","Storage","Corporate","Central","Netherlands","91.12","-1.84","3","-0.0202"
"2015-02-01","Office Supplies","Storage","Home Office","Central","Germany","214.61","-220.03","4","-1"
"2015-02-01","Office Supplies","Storage","Home Office","South","Spain","59.62","-2.66","4","-0.0447"
"2015-02-01","Office Supplies","Supplies","Corporate","South","Spain","37.8","18.12","1","0.4794"
"2015-02-01","Technology","Accessories","Consumer","Central","France","44.13","-7.95","2","-0.1801"
"2015-02-01","Technology","Copiers","Consumer","Central","France","549.93","-235.77","6","-0.4287"
"2015-02-01","Technology","Copiers","Corporate","Central","Belgium","524.58","57.66","2","0.1099"
"2015-02-01","Technology","Copiers","Corporate","Central","Germany","465.08","140.12","2","0.3013"
"2015-02-01","Technology","Machines","Consumer","Central","France","630.7","-38.89","10","-0.0617"
"2015-02-01","Technology","Machines","Consumer","South","Italy","506.65","34.21","4","0.0675"
"2015-02-01","Technology","Phones","Consumer","Central","Netherlands","119.61","-40.68","3","-0.3401"
"2015-02-01","Technology","Phones","Consumer","North","Ireland","184.95","-92.52","3","-0.5002"
"2015-02-01","Technology","Phones","Consumer","North","United Kingdom","161.51","43.01","2","0.2663"
"2015-02-01","Technology","Phones","Corporate","Central","France","388.49","74.21","3","0.191"
"2015-02-01","Technology","Phones","Corporate","Central","Germany","583.92","-58.56","8","-0.1003"
"2015-02-01","Technology","Phones","Corporate","South","Spain","587.41","104.41","1","0.1777"
"2015-03-01","Furniture","Bookcases","Consumer","South","Italy","287.94","20.1","2","0.0698"
"2015-03-01","Furniture","Bookcases","Corporate","North","United Kingdom","1314.45","341.73","3","0.26"
"2015-03-01","Furniture","Chairs","Consumer","North","United Kingdom","328.18","55.33","5","0.1686"
"2015-03-01","Furniture","Chairs","Corporate","Central","Germany","729.14","-56.72","5","-0.0778"
"2015-03-01","Furniture","Chairs","Corporate","North","United Kingdom","704.55","288.75","5","0.4098"
"2015-03-01","Furniture","Furnishings","Consumer","Central","Germany","170.04","27.12","4","0.1595"
"2015-03-01","Furniture","Furnishings","Consumer","North","Norway","131.58","9.18","3","0.0698"
"2015-03-01","Furniture","Furnishings","Home Office","Central","Germany","769.65","84.63","7","0.11"
"2015-03-01","Office Supplies","Appliances","Consumer","Central","Germany","3434.15","1409.69","14","0.4105"
"2015-03-01","Office Supplies","Art","Consumer","Central","France","287.01","80.22","9","0.2795"
"2015-03-01","Office Supplies","Art","Consumer","Central","Germany","42.84","19.62","3","0.458"
"2015-03-01","Office Supplies","Art","Consumer","North","Finland","194.64","91.44","4","0.4698"
"2015-03-01","Office Supplies","Art","Consumer","North","United Kingdom","39.58","1.87","3","0.0473"
"2015-03-01","Office Supplies","Art","Consumer","South","Spain","96.57","36.63","3","0.3793"
"2015-03-01","Office Supplies","Art","Corporate","Central","Switzerland","26.4","0.48","2","0.0182"
"2015-03-01","Office Supplies","Art","Corporate","North","United Kingdom","231.72","45.27","7","0.1954"
"2015-03-01","Office Supplies","Art","Home Office","Central","Germany","146.52","0","12","0"
"2015-03-01","Office Supplies","Art","Home Office","North","United Kingdom","266.3","16.61","7","0.0624"
"2015-03-01","Office Supplies","Binders","Consumer","Central","Germany","39.96","16.38","3","0.4099"
"2015-03-01","Office Supplies","Binders","Consumer","Central","Switzerland","92.43","25.83","3","0.2795"
"2015-03-01","Office Supplies","Binders","Consumer","North","United Kingdom","47.74","19.06","4","0.3992"
"2015-03-01","Office Supplies","Binders","Consumer","South","Italy","17.82","3.18","2","0.1785"
"2015-03-01","Office Supplies","Binders","Corporate","Central","Germany","228.91","27.76","9","0.1213"
"2015-03-01","Office Supplies","Binders","Home Office","Central","France","664.29","115.41","16","0.1737"
"2015-03-01","Office Supplies","Envelopes","Consumer","South","Spain","93.84","20.64","2","0.2199"
"2015-03-01","Office Supplies","Envelopes","Corporate","Central","Switzerland","166.8","6.6","4","0.0396"
"2015-03-01","Office Supplies","Fasteners","Consumer","Central","Germany","238.36","38.44","15","0.1613"
"2015-03-01","Office Supplies","Fasteners","Consumer","North","United Kingdom","23.98","8.26","2","0.3443"
"2015-03-01","Office Supplies","Fasteners","Consumer","South","Italy","57.6","28.8","3","0.5"
"2015-03-01","Office Supplies","Fasteners","Corporate","North","United Kingdom","28.14","10.38","2","0.3689"
"2015-03-01","Office Supplies","Fasteners","Corporate","South","Italy","93.3","44.7","5","0.4791"
"2015-03-01","Office Supplies","Fasteners","Home Office","Central","France","56.52","4.5","3","0.0796"
"2015-03-01","Office Supplies","Fasteners","Home Office","North","United Kingdom","6.86","-4.28","1","-0.6236"
"2015-03-01","Office Supplies","Labels","Consumer","Central","France","20.58","4.08","2","0.1983"
"2015-03-01","Office Supplies","Labels","Consumer","Central","Netherlands","17.01","-11.61","3","-0.6825"
"2015-03-01","Office Supplies","Labels","Consumer","South","Italy","47.25","6.93","7","0.1467"
"2015-03-01","Office Supplies","Labels","Corporate","Central","France","13.95","3.87","3","0.2774"
"2015-03-01","Office Supplies","Labels","Corporate","Central","Germany","21.15","6.75","3","0.3191"
"2015-03-01","Office Supplies","Labels","Home Office","Central","Germany","8.07","-5.85","2","-0.7249"
"2015-03-01","Office Supplies","Paper","Consumer","Central","Germany","89.94","26.94","2","0.2995"
"2015-03-01","Office Supplies","Paper","Home Office","Central","Germany","193.32","7.68","4","0.0397"
"2015-03-01","Office Supplies","Storage","Consumer","Central","France","738.32","127.22","8","0.1723"
"2015-03-01","Office Supplies","Storage","Consumer","Central","Germany","450.24","22.2","12","0.0493"
"2015-03-01","Office Supplies","Storage","Consumer","North","Norway","49.68","2.97","3","0.0598"
"2015-03-01","Office Supplies","Storage","Consumer","South","Spain","104.49","26.64","5","0.255"
"2015-03-01","Office Supplies","Storage","Corporate","Central","Germany","131.49","10.44","10","0.0794"
"2015-03-01","Office Supplies","Storage","Corporate","Central","Switzerland","272.76","57.24","2","0.2099"
"2015-03-01","Office Supplies","Storage","Home Office","Central","France","272.05","31.09","4","0.1143"
"2015-03-01","Office Supplies","Storage","Home Office","Central","Germany","102.44","35.24","2","0.344"
"2015-03-01","Office Supplies","Supplies","Consumer","Central","Germany","231.3","64.74","8","0.2799"
"2015-03-01","Office Supplies","Supplies","Consumer","South","Italy","104.67","41.85","3","0.3998"
"2015-03-01","Office Supplies","Supplies","Corporate","South","Italy","83.4","9.96","2","0.1194"
"2015-03-01","Technology","Accessories","Corporate","Central","Germany","370.98","43.74","3","0.1179"
"2015-03-01","Technology","Copiers","Consumer","Central","Germany","380.7","-335.16","6","-0.8804"
"2015-03-01","Technology","Copiers","Consumer","South","Spain","125.85","59.13","1","0.4698"
"2015-03-01","Technology","Copiers","Corporate","Central","Germany","284.76","14.22","2","0.0499"
"2015-03-01","Technology","Machines","Corporate","Central","Netherlands","747.3","-89.7","5","-0.12"
"2015-03-01","Technology","Machines","Home Office","Central","Germany","46.53","12.54","1","0.2695"
"2015-03-01","Technology","Phones","Consumer","Central","Germany","639","44.73","1","0.07"
"2015-03-01","Technology","Phones","Consumer","Central","Netherlands","84.02","-55.46","1","-0.6601"
"2015-03-01","Technology","Phones","Consumer","South","Italy","81.76","13.6","2","0.1663"
"2015-03-01","Technology","Phones","Corporate","Central","Germany","389.61","15.57","3","0.04"
"2015-03-01","Technology","Phones","Home Office","Central","France","245.51","2.87","2","0.0117"
"2015-03-01","Technology","Phones","Home Office","Central","Germany","520.11","202.77","3","0.3899"
"2015-04-01","Furniture","Bookcases","Consumer","North","United Kingdom","2624.04","446.04","6","0.17"
"2015-04-01","Furniture","Bookcases","Corporate","South","Spain","718.95","21.45","5","0.0298"
"2015-04-01","Furniture","Chairs","Consumer","Central","France","2520.69","803.07","11","0.3186"
"2015-04-01","Furniture","Chairs","Corporate","Central","France","507.28","174.64","4","0.3443"
"2015-04-01","Furniture","Chairs","Corporate","South","Italy","45.07","-33.83","2","-0.7505"
"2015-04-01","Furniture","Chairs","Home Office","South","Spain","65.78","18.89","1","0.2872"
"2015-04-01","Furniture","Furnishings","Consumer","Central","Germany","256.95","74.4","5","0.2896"
"2015-04-01","Furniture","Furnishings","Consumer","Central","Switzerland","110.28","37.44","2","0.3395"
"2015-04-01","Furniture","Furnishings","Consumer","North","United Kingdom","154.39","-4.49","4","-0.0291"
"2015-04-01","Furniture","Furnishings","Corporate","North","Sweden","40.01","-44.05","2","-1"
"2015-04-01","Furniture","Furnishings","Corporate","South","Italy","63.84","7.56","4","0.1184"
"2015-04-01","Furniture","Tables","Home Office","South","Spain","381.96","-181.44","3","-0.475"
"2015-04-01","Office Supplies","Appliances","Consumer","Central","Switzerland","584.22","233.52","7","0.3997"
"2015-04-01","Office Supplies","Appliances","Corporate","Central","France","1889.06","482.68","7","0.2555"
"2015-04-01","Office Supplies","Appliances","Corporate","Central","Germany","537.52","220.84","7","0.4108"
"2015-04-01","Office Supplies","Appliances","Corporate","South","Spain","333.84","133.44","4","0.3997"
"2015-04-01","Office Supplies","Art","Consumer","Central","Belgium","189.93","52.11","4","0.2744"
"2015-04-01","Office Supplies","Art","Consumer","Central","France","206.79","52.02","8","0.2516"
"2015-04-01","Office Supplies","Art","Consumer","Central","Germany","44.22","7.92","2","0.1791"
"2015-04-01","Office Supplies","Art","Consumer","Central","Netherlands","39.15","-18.81","3","-0.4805"
"2015-04-01","Office Supplies","Art","Consumer","Central","Switzerland","20.64","9.06","2","0.439"
"2015-04-01","Office Supplies","Art","Consumer","North","United Kingdom","399.87","68.46","20","0.1712"
"2015-04-01","Office Supplies","Art","Consumer","South","Italy","157.95","69.48","3","0.4399"
"2015-04-01","Office Supplies","Art","Corporate","Central","France","128.64","27.78","8","0.216"
"2015-04-01","Office Supplies","Art","Corporate","Central","Germany","119.07","38.07","9","0.3197"
"2015-04-01","Office Supplies","Art","Corporate","South","Italy","257.85","107.61","9","0.4173"
"2015-04-01","Office Supplies","Art","Corporate","South","Portugal","205.44","-127.44","8","-0.6203"
"2015-04-01","Office Supplies","Art","Home Office","Central","France","384.3","69.09","7","0.1798"
"2015-04-01","Office Supplies","Art","Home Office","South","Spain","150.99","43.11","7","0.2855"
"2015-04-01","Office Supplies","Binders","Consumer","Central","France","205.65","9.33","16","0.0454"
"2015-04-01","Office Supplies","Binders","Consumer","South","Italy","440.82","49.77","9","0.1129"
"2015-04-01","Office Supplies","Binders","Consumer","South","Spain","38.7","9.9","6","0.2558"
"2015-04-01","Office Supplies","Binders","Corporate","Central","France","521.7","140.16","12","0.2687"
"2015-04-01","Office Supplies","Binders","Corporate","Central","Germany","30.6","1.2","5","0.0392"
"2015-04-01","Office Supplies","Binders","Corporate","South","Italy","24","0.96","2","0.04"
"2015-04-01","Office Supplies","Binders","Home Office","Central","France","77.28","7.02","4","0.0908"
"2015-04-01","Office Supplies","Binders","Home Office","South","Spain","45.06","5.76","4","0.1278"
"2015-04-01","Office Supplies","Envelopes","Corporate","Central","Germany","47.58","5.7","2","0.1198"
"2015-04-01","Office Supplies","Envelopes","Corporate","Central","Netherlands","52.5","-35.7","5","-0.68"
"2015-04-01","Office Supplies","Envelopes","Corporate","South","Portugal","16.95","-4.77","2","-0.2814"
"2015-04-01","Office Supplies","Envelopes","Home Office","South","Spain","122.7","53.85","5","0.4389"
"2015-04-01","Office Supplies","Fasteners","Consumer","Central","France","24.72","4.92","2","0.199"
"2015-04-01","Office Supplies","Fasteners","Corporate","Central","France","85.95","32.55","5","0.3787"
"2015-04-01","Office Supplies","Fasteners","Corporate","South","Italy","38.82","17.82","2","0.459"
"2015-04-01","Office Supplies","Labels","Consumer","Central","France","45.45","6.84","5","0.1505"
"2015-04-01","Office Supplies","Labels","Consumer","Central","Germany","64.26","24.84","9","0.3866"
"2015-04-01","Office Supplies","Labels","Consumer","Central","Switzerland","14.58","0.72","2","0.0494"
"2015-04-01","Office Supplies","Labels","Consumer","North","United Kingdom","58.5","28.17","6","0.4815"
"2015-04-01","Office Supplies","Labels","Corporate","Central","France","17.52","2.76","2","0.1575"
"2015-04-01","Office Supplies","Labels","Corporate","Central","Germany","64.8","32.4","6","0.5"
"2015-04-01","Office Supplies","Paper","Consumer","Central","France","47.4","17.04","2","0.3595"
"2015-04-01","Office Supplies","Paper","Consumer","North","United Kingdom","186.36","89.4","4","0.4797"
"2015-04-01","Office Supplies","Paper","Corporate","Central","Netherlands","16.8","-6.72","2","-0.4"
"2015-04-01","Office Supplies","Paper","Corporate","South","Italy","241.65","9.6","5","0.0397"
"2015-04-01","Office Supplies","Storage","Consumer","Central","France","255.2","15.02","9","0.0589"
"2015-04-01","Office Supplies","Storage","Consumer","Central","Germany","935.28","83.04","8","0.0888"
"2015-04-01","Office Supplies","Storage","Consumer","North","United Kingdom","979.62","205.92","10","0.2102"
"2015-04-01","Office Supplies","Storage","Corporate","Central","Germany","542.16","191.61","13","0.3534"
"2015-04-01","Office Supplies","Storage","Corporate","South","Italy","532.51","-274.13","8","-0.5148"
"2015-04-01","Office Supplies","Storage","Home Office","South","Spain","1523.66","-50.98","8","-0.0335"
"2015-04-01","Office Supplies","Supplies","Consumer","Central","France","81.18","19.44","3","0.2395"
"2015-04-01","Office Supplies","Supplies","Consumer","North","United Kingdom","90.12","43.2","4","0.4794"
"2015-04-01","Office Supplies","Supplies","Corporate","Central","France","65.79","14.4","3","0.2189"
"2015-04-01","Office Supplies","Supplies","Corporate","Central","Germany","256.23","89.07","9","0.3476"
"2015-04-01","Technology","Accessories","Consumer","Central","France","293.58","108.57","7","0.3698"
"2015-04-01","Technology","Accessories","Consumer","South","Italy","123.12","50.4","3","0.4094"
"2015-04-01","Technology","Accessories","Corporate","South","Italy","311.76","12.24","12","0.0393"
"2015-04-01","Technology","Accessories","Home Office","Central","France","1232.1","98.55","5","0.08"
"2015-04-01","Technology","Copiers","Consumer","Central","Germany","785.34","86.31","3","0.1099"
"2015-04-01","Technology","Machines","Consumer","North","United Kingdom","859.38","41.34","5","0.0481"
"2015-04-01","Technology","Machines","Corporate","Central","France","2016.85","-0.05","9","0"
"2015-04-01","Technology","Phones","Consumer","Central","France","683.58","-24.27","11","-0.0355"
"2015-04-01","Technology","Phones","Consumer","Central","Germany","306.24","9.18","2","0.03"
"2015-04-01","Technology","Phones","Consumer","North","Ireland","238.46","-0.1","7","-0.0004"
"2015-04-01","Technology","Phones","Consumer","North","United Kingdom","692.85","228.6","5","0.3299"
"2015-04-01","Technology","Phones","Consumer","South","Spain","443.99","88.79","4","0.2"
"2015-04-01","Technology","Phones","Corporate","Central","France","645.28","75.88","5","0.1176"
"2015-04-01","Technology","Phones","Corporate","North","Sweden","73.2","-11.76","2","-0.1607"
"2015-04-01","Technology","Phones","Corporate","South","Italy","496.58","-289.84","6","-0.5837"
"2015-05-01","Furniture","Bookcases","Consumer","Central","Germany","713.12","39.56","4","0.0555"
"2015-05-01","Furniture","Bookcases","Consumer","Central","Netherlands","704.34","-115.08","8","-0.1634"
"2015-05-01","Furniture","Bookcases","Consumer","North","United Kingdom","607.72","189.04","4","0.3111"
"2015-05-01","Furniture","Bookcases","Corporate","Central","Germany","1112.7","259.59","3","0.2333"
"2015-05-01","Furniture","Chairs","Consumer","Central","Austria","1058.58","105.84","6","0.1"
"2015-05-01","Furniture","Furnishings","Consumer","Central","Austria","87.3","27.06","2","0.31"
"2015-05-01","Furniture","Furnishings","Consumer","Central","France","151.38","2.97","3","0.0196"
"2015-05-01","Furniture","Furnishings","Consumer","North","United Kingdom","92.42","7.91","3","0.0856"
"2015-05-01","Furniture","Furnishings","Corporate","South","Italy","75.78","30.24","3","0.399"
"2015-05-01","Furniture","Furnishings","Corporate","South","Portugal","169.92","-81.63","3","-0.4804"
"2015-05-01","Furniture","Furnishings","Home Office","Central","Germany","422.64","91.29","11","0.216"
"2015-05-01","Furniture","Tables","Consumer","Central","France","2228.64","-754.41","7","-0.3385"
"2015-05-01","Furniture","Tables","Consumer","Central","Germany","827.27","-394.57","4","-0.477"
"2015-05-01","Furniture","Tables","Home Office","Central","France","627.28","-135.14","2","-0.2154"
"2015-05-01","Office Supplies","Appliances","Consumer","Central","France","1388.88","154.23","5","0.111"
"2015-05-01","Office Supplies","Appliances","Consumer","Central","Germany","324","-25.2","6","-0.0778"
"2015-05-01","Office Supplies","Appliances","Consumer","Central","Netherlands","55.65","-7.83","2","-0.1407"
"2015-05-01","Office Supplies","Appliances","Consumer","North","Ireland","115.06","-39.2","3","-0.3406"
